school_name,address,region,places,naplan_rank,notes
Alexandra Park Community School,Park Rd Alexandria,Metro,30,33,
Alstonville PS,Main St Alstonville,Regional,15,63,
Armidale City PS,Faulkner St Armidale,Regional,15,78,
Artarmon PS,McMillan Rd Artarmon,Metro,30,4,
Ashfield PS,Liverpool Rd Ashfield,Metro,30,16,
Balgowlah Heights PS,Lewis St Balgowlah,Metro,15,22,
Balmain PS,Eaton St Balmain,Metro,30,5,
Bathurst West PS,Suttor St Bathurst,Regional,15,66,
Beecroft PS,Beecroft Rd Beecroft,Metro,30,3,
Biraban PS,Beckley St Toronto,Regional,15,54,
Blacktown South PS,Flushcombe Rd Blacktown,Metro,15,40,
Blacktown West PS,Lancaster St Blacktown,Metro,15,62,NEW
Blaxcell Street PS,Blaxcell St Granville,Metro,15,52,
Blaxland East PS,Old Bathurst Rd Blaxland East,Regional,30,,Not in ranking file
Bradbury PS,Jacaranda Ave Bradbury,Regional,15,49,
Brookvale PS,Old Pittwater Rd Brookvale,Metro,15,42,NEW
Camden South PS,De Meyrick Ave Casula,Regional,15,55,
Caringbah North PS,Cawarra Rd Caringbah,Metro,15,23,
Casula PS,De Meyrick Ave Casula,Metro,15,72,
Cessnock West PS,Cnr Campbell St & Wollombi Rd Cessnock,Regional,15,76,
Chatswood PS,Centennial Ave Chatswood,Metro,30,20,
Colyton PS,Nelson St Mount Druitt,Metro,15,45,
Coonabarabran PS,Newell Hwy Coonabarabran,Regional,15,87,
Cudgegong Valley PS,Madeira Rd Mudgee,Regional,15,75,
Doonside PS,School Parade Doonside,Metro,15,84,NEW
Dubbo West PS,East St Dubbo,Regional,15,86,
Dural PS,Old Northern Rd Dural,Metro,30,7,
Earlwood PS,Homer St Earlwood,Metro,30,19,
Ermington PS,Winbourne St West Ryde,Metro,30,6,
Georges Hall PS,Pennington Ave Georges Hall,Metro,15,44,
Glenbrook PS,Woodville St Glenbrook,Regional,30,31,Not available 2027
Goonellabah PS,Ballina Rd Goonellabah,Regional,15,85,
Gosford PS,Faunce St West West Gosford,Regional,30,29,
Goulburn West PS,Combermere St Goulburn,Regional,15,70,
Greenacre PS,Waterloo Rd Greenacre,Metro,15,80,
Greystanes PS,Merrylands Rd Greystanes,Metro,30,25,
Guildford West PS,Palmer St Guildford West,Metro,15,77,NEW
Harrington Street PS,Harrington St Cabramatta,Metro,15,38,
Holsworthy PS,Infantry Pde Holsworthy,Metro,15,18,
Hurstville PS,Forest Rd Hurstville,Metro,60,11,
Illaroo Road PS,Illaroo Rd Nowra,Regional,15,50,
Ironbark Ridge PS,Ironbark Ridge Rd Rouse Hill,Metro,15,9,
Jewells Primary School,Lepton Pde Jewells,Regional,15,46,
Kingswood PS,Second Ave Kingswood,Metro,15,26,
Leumeah PS,Burrendong Rd Leumeah,Regional,15,36,
Lindfield East PS,90 Tryon Rd East Lindfield,Metro,15,15,NEW
Lithgow PS,Mort St Lithgow,Regional,15,81,
Maroubra Junction PS,Storey St Maroubra,Metro,15,47,NEW
Maryland PS,John T Bell Dr Maryland,Regional,15,53,
Matthew Pearce PS,Astoria Park Rd Baulkham Hills,Metro,30,2,
Miranda PS,3 Sylva Ave Miranda,Metro,15,65,NEW
Mona Vale PS,Waratah St Mona Vale,Metro,30,37,
Moree PS,Albert St Moree,Regional,15,74,
Moss Vale PS,Browley St Moss Vale,Regional,15,79,NEW
Neutral Bay PS,Ben Boyd Rd Neutral Bay,Metro,30,17,
Newbridge Heights PS,Lewin & Magree Cres Chipping Norton,Metro,15,43,
New Lambton South PS,St James Rd New Lambton,Regional,15,35,
North Rocks PS,North Rocks Rd North Rocks,Metro,30,10,
Penrith PS,Corner High St & Doonmore St Penrith,Metro,15,58,NEW
Picnic Point PS,Thomas St Picnic Point,Metro,15,28,
Port Macquarie PS,Grant St Port Macquarie,Regional,15,82,
Quakers Hill PS,Medlow Dr Quakers Hill,Metro,30,24,
Queanbeyan South PS,Cameron Rd Queanbeyan,Regional,15,73,
Richmond PS,Windsor St Richmond,Metro,30,30,
Rutherford PS,Weblands St Rutherford,Regional,15,67,
Ryde PS,Pope St Ryde,Metro,30,14,
Smithfield PS,O'Connell St Smithfield,Metro,15,57,
Soldiers Point PS,Cromarty Rd Soldiers Point,Regional,15,60,
South Grafton PS,Vere St South Grafton,Regional,15,68,
St Andrews PS,Ballantrae Dr St Andrews,Metro,15,64,
St Clair PS,4 Timesweep Dr St Clair,Metro,15,69,NEW
St Johns Park PS,Sandringham St St Johns Park,Metro,15,39,
Sturt PS,White Ave Wagga Wagga,Regional,15,51,
Summer Hill PS,Moonbie St Summer Hill,Metro,30,8,
Sutherland PS,Eton St Sutherland,Metro,30,13,
Tahmoor PS,Bronzewing St Tahmoor,Regional,15,71,
Tamworth PS,Napier St Tamworth,Regional,15,61,
Tamworth South PS,Petra Ave Tamworth,Regional,15,83,
Tighes Hill PS,Elizabeth St Tighes Hill,Regional,15,34,
Toongabbie PS,59 Fitzwilliam Rd Toongabbie,Metro,15,48,NEW
Toormina PS,Cavanba Rd Toormina,Regional,15,59,
Wahroonga PS,71 Burns Rd Wahroonga,Metro,15,27,NEW
Waitara PS,Edgeworth David Ave Wahroonga,Metro,30,12,
Wentworth Falls PS,Falls Rd Wentworth Falls,Regional,15,41,
Wilkins PS,Park Rd Marrickville,Metro,30,21,
Wollongong PS,Church St Wollongong,Regional,30,32,
Woollahra PS,Forth St Woollahra,Metro,30,1,
Wyong PS,Cutler Dr Wyong,Regional,30,56,
Aurora College,Virtual (rural/remote),Regional,100,,Virtual class
