school_name,places,naplan_rank,tier
Woollahra PS,30,1,S
Matthew Pearce PS,30,2,S
Beecroft PS,30,3,S
Artarmon PS,30,4,S
Balmain PS,30,5,S
Ermington PS,30,6,S
Dural PS,30,7,S
Summer Hill PS,30,8,S
Ironbark Ridge PS,15,9,S
North Rocks PS,30,10,S
Hurstville PS,60,11,A
Waitara PS,30,12,A
Sutherland PS,30,13,A
Ryde PS,30,14,A
Lindfield East PS,15,15,A
Ashfield PS,30,16,A
Neutral Bay PS,30,17,A
Holsworthy PS,15,18,A
Earlwood PS,30,19,A
Chatswood PS,30,20,A
Wilkins PS,30,21,A
Balgowlah Heights PS,15,22,A
Caringbah North PS,15,23,A
Quakers Hill PS,30,24,A
Greystanes PS,30,25,A
Kingswood PS,15,26,B
Wahroonga PS,15,27,B
Picnic Point PS,15,28,B
Gosford PS,30,29,B
Richmond PS,30,30,B
Glenbrook PS,30,31,B
Wollongong PS,30,32,B
Alexandria Park Community School,30,33,B
Tighes Hill PS,15,34,B
New Lambton South PS,15,35,B
Leumeah PS,15,36,B
Mona Vale PS,30,37,B
Harrington Street PS,15,38,B
St Johns Park PS,15,39,B
Blacktown South PS,15,40,B
Wentworth Falls PS,15,41,B
Brookvale PS,15,42,B
Newbridge Heights PS,15,43,B
Georges Hall PS,15,44,B
Colyton PS,15,45,B
Jewells Primary School,15,46,B
Maroubra Junction PS,15,47,B
Toongabbie PS,15,48,B
Bradbury PS,15,49,B
Illaroo Road PS,15,50,B
Sturt PS,15,51,C
Blaxcell Street PS,15,52,C
Maryland PS,15,53,C
Biraban PS,15,54,C
Camden South PS,15,55,C
Wyong PS,30,56,C
Smithfield PS,15,57,C
Penrith PS,15,58,C
Toormina PS,15,59,C
Soldiers Point PS,15,60,C
Tamworth PS,15,61,C
Blacktown West PS,15,62,C
Alstonville PS,15,63,C
St Andrews PS,15,64,C
Miranda PS,15,65,C
Bathurst West PS,15,66,C
Rutherford PS,15,67,C
South Grafton PS,15,68,C
St Clair PS,15,69,C
Goulburn West PS,15,70,C
Tahmoor PS,15,71,C
Casula PS,15,72,C
Queanbeyan South PS,15,73,C
Moree PS,15,74,C
Cudgegong Valley PS,15,75,C
Cessnock West PS,15,76,C
Guildford West PS,15,77,C
Armidale City PS,15,78,C
Moss Vale PS,15,79,C
Greenacre PS,15,80,C
Lithgow PS,15,81,C
Port Macquarie PS,15,82,C
Tamworth South PS,15,83,C
Doonside PS,15,84,C
Goonellabah PS,15,85,C
Dubbo West PS,15,86,C
Coonabarabran PS,15,87,C
